sku,categories,short_description,description,price,special_price,is_in_stock,additional_attributes,created_at,updated_at
Olden day Journey,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>animal painting</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""8600"",jd_trends_artist=""2"",prirority=""3""","7/24/18, 1:41 PM","12/17/21, 10:06 AM"
Gazing Deer,"Default Category/Paintings/Medium/Oil,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View","<p>deer art,deer painting, oil painting,Oil painting on canvas gives a durable rich, elegant, look and feel that is long lasting.  With proper colors, texture the painting can last long to more than 100 years!!</p>",,,,1,"room=""Living Room"",medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""4500"",jd_trends_artist=""2"",prirority=""1""","7/24/18, 1:42 PM","11/6/21, 10:31 PM"
Stick couple Figures,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Portrait Paintings/African Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Portrait Paintings,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>abstract painting,african art,Abstract art is perfect for both modern and traditional spaces. Add some cheer to your home with a beautiful painting that reflects your creativity. <br />While speech fails, Art Speaks!!</p>",,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""5000"",jd_trends_artist=""2"",prirority=""7""","7/24/18, 1:42 PM","11/6/21, 10:31 PM"
Stick Figure01,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Portrait Paintings/African Paintings",<p>Tribal art that can brighten up living space with scenic beauty of ethnic in nature </p>,,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""1500"",jd_trends_artist=""2"",prirority=""3""","7/24/18, 1:43 PM","2/2/22, 10:20 AM"
Majestic Tammed Horse,"Default Category/Paintings/Medium/Oil,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Animals, Birds Paintings/Running Horse Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""unrevealed animal in realistic painting best suitable for living room""}"" data-sheets-userformat=""{""2"":14851,""3"":{""1"":0},""4"":[null,2,16777215],""12"":0,""14"":[null,2,3092271],""15"":""Arial, Helvetica, sans-serif"",""16"":9}"">unrevealed animal in realistic painting best suitable for living room</span></p>",,,,1,"room=""Living Room"",medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""4000"",jd_trends_artist=""2"",prirority=""6""","7/24/18, 1:43 PM","12/16/21, 4:24 PM"
Serene Scenary,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category/Paintings/Style/Realistic,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Office,Default Category/Room by View/Study Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>scenery painting on canvas</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""9800"",jd_trends_artist=""2"",prirority=""5""","7/24/18, 1:44 PM","12/17/21, 10:06 AM"
Water puddled Scenary,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category/Paintings/Style/Realistic,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Office,Default Category/Room by View/Study Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>scenery painting on canvas</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""9,500.00"",jd_trends_artist=""2"",prirority=""6""","7/24/18, 1:45 PM","12/6/21, 1:50 PM"
Fighter Rooster,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Animals, Birds Paintings/Birds Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>bird painting</p>,,,,1,"room=""Dining Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""7500"",jd_trends_artist=""2"",prirority=""9""","7/24/18, 1:45 PM","5/13/22, 6:15 PM"
Stringed Instrument,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Still Life Paintings,Default Category/Paintings/Style/Realistic,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Still Life Paintings/Music Instruments Paintings,Default Category/Show by Room,Default Category/Show by Room/Dining Room,Default Category/Room by View,Default Category/Room by View/Dining Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>music art</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""8000"",jd_trends_artist=""2"",prirority=""7""","7/24/18, 1:46 PM","11/6/21, 10:31 PM"
Stick Figure02,"Default Category/Paintings/Medium/Oil,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Portrait Paintings/African Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Portrait Paintings",<p>Tribal art that can brighten up living space with scenic beauty of ethnic in nature </p>,,,,1,"room=""Dining Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""5000"",jd_trends_artist=""2"",prirority=""8""","7/24/18, 1:46 PM","2/2/22, 10:31 AM"
Stick Figure03,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Portrait Paintings/African Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Portrait Paintings",<p>Tribal art that can brighten up living space with scenic beauty of ethnic in nature </p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""4500"",jd_trends_artist=""2"",prirority=""9""","7/24/18, 1:47 PM","2/2/22, 10:24 AM"
Stick Figure04,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Portrait Paintings/African Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Portrait Paintings,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Tribal art that can brighten up living space with scenic beauty of ethnic in nature </p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""5000"",jd_trends_artist=""2"",prirority=""6""","7/24/18, 1:47 PM","2/2/22, 10:24 AM"
Stick Figure05,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Portrait Paintings/African Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Portrait Paintings",<p>Tribal art that can brighten up living space with scenic beauty of ethnic in nature </p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""5000"",jd_trends_artist=""2"",prirority=""9""","7/24/18, 1:48 PM","2/2/22, 10:35 AM"
Rocky waterwayed Landscape,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Enhance the beauty of Your Walls through large canvas lanscape painting</p>,,,,1,"room=""Living Room"",medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""8900"",jd_trends_artist=""2"",prirority=""5""","7/24/18, 1:49 PM","12/17/21, 10:06 AM"
Peocock at its Best,"Default Category/Paintings/Medium/Oil,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Animals, Birds Paintings/Birds Paintings,Default Category/Paintings/Animals, Birds Paintings/Peacock Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":"" perfectly sized hand painting will add style to your walls and the vibrant colors in the artwork will set the tone in a small space""}"" data-sheets-userformat=""{""2"":6659,""3"":{""1"":0},""4"":{""1"":2,""2"":16777215},""12"":0,""14"":{""1"":2,""2"":3355443},""15"":""Arial""}"">perfectly sized hand painting will add style to your walls and the vibrant colors in the artwork will set the tone in a small space</span></p>",,,,1,"room=""Living Room"",medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""9500"",jd_trends_artist=""2"",prirority=""5""","7/24/18, 1:50 PM","11/6/21, 10:31 PM"
